Date,Action,Recommendation,Target Price,Close Price,Implied Return,Consensus Tgt Px
04/10/25,M,buy,3,1.54,95.44%,2.56
02/26/25,M,buy,3.05,1.77,72.32%,2.79
01/28/25,M,buy,3.25,2.63,23.57%,3.47
01/15/25,M,buy,3.35,2.74,22.26%,3.6
10/22/24,M,buy,3.3,2.66,24.06%,3.61
10/11/24,M,buy,3.5,2.96,18.24%,3.72
08/27/24,U,buy,3.6,2.99,20.40%,3.8
07/29/24,M,neutral,3.74,3.24,15.43%,3.93
07/11/24,M,neutral,3.85,3.09,24.60%,3.96
04/17/24,M,neutral,3.69,3.53,4.53%,4.01
04/10/24,M,neutral,3.74,3.62,3.31%,3.99
02/22/24,M,neutral,3.43,3.55,-3.38%,3.9
01/24/24,M,neutral,3.4,3.41,-0.29%,3.64
01/10/24,M,neutral,3.43,3.45,-0.58%,3.51
10/23/23,M,neutral,3.29,2.73,20.51%,3.35
10/09/23,M,neutral,3.17,2.81,12.81%,3.32
09/05/23,M,neutral,3.19,3.08,3.57%,3.31
