Pricing Date,Bendigo and Adelaide Bank Limited (ASX:BEN) - Share Pricing,Bendigo and Adelaide Bank Limited (ASX:BEN) - Daily Target Price (CIQ),,,
Feb-11-1993,3.26,,,,
Feb-12-1993,3.25,,,,
Feb-15-1993,3.25,,,,
Feb-16-1993,3.25,,,,
Feb-17-1993,3.25,,,,
Feb-18-1993,3.22,,,,
Feb-19-1993,3.25,,,,
Feb-22-1993,3.25,,,,
Feb-23-1993,3.24,,,,
Feb-24-1993,3.24,,,,
Feb-25-1993,3.22,,,,
Feb-26-1993,3.25,,,,
Mar-01-1993,3.24,,,,
Mar-02-1993,3.23,,,,
Mar-03-1993,3.2,,,,
Mar-04-1993,3.23,,,,
Mar-05-1993,3.22,,,,
Mar-08-1993,3.23,,,,
Mar-09-1993,3.24,,,,
Mar-10-1993,3.22,,,,
Mar-11-1993,3.26,,,,
Mar-12-1993,3.3,,,,
Mar-15-1993,3.23,,,,
Mar-16-1993,3.26,,,,
Mar-17-1993,3.35,,,,
Mar-18-1993,3.4,,,,
Mar-19-1993,3.4,,,,
Mar-22-1993,3.45,,,,
Mar-23-1993,3.42,,,,
Mar-24-1993,3.4,,,,
Mar-25-1993,3.36,,,,
Mar-26-1993,3.42,,,,
Mar-29-1993,3.4,,,,
Mar-30-1993,3.42,,,,
Mar-31-1993,3.44,,,,
Apr-01-1993,3.44,,,,
Apr-02-1993,3.32,,,,
Apr-05-1993,3.26,,,,
Apr-06-1993,3.26,,,,
Apr-07-1993,3.23,,,,
Apr-08-1993,3.28,,,,
Apr-13-1993,3.32,,,,
Apr-14-1993,3.3,,,,
Apr-15-1993,3.3,,,,
Apr-16-1993,3.26,,,,
Apr-19-1993,3.2,,,,
Apr-20-1993,3.26,,,,
Apr-21-1993,3.3,,,,
Apr-22-1993,3.3,,,,
Apr-23-1993,3.3,,,,
Apr-27-1993,3.32,,,,
Apr-28-1993,3.32,,,,
Apr-29-1993,3.3,,,,
Apr-30-1993,3.3,,,,
May-03-1993,3.29,,,,
May-04-1993,3.25,,,,
May-05-1993,3.25,,,,
May-06-1993,3.2,,,,
May-07-1993,3.17,,,,
May-10-1993,3.15,,,,
May-11-1993,3.16,,,,
May-12-1993,3.1,,,,
May-13-1993,3.05,,,,
May-14-1993,3.02,,,,
May-17-1993,3.02,,,,
May-18-1993,3,,,,
May-19-1993,3,,,,
May-20-1993,3,,,,
May-21-1993,3,,,,
May-24-1993,2.98,,,,
May-25-1993,2.95,,,,
May-26-1993,2.85,,,,
May-27-1993,2.92,,,,
May-28-1993,3,,,,
May-31-1993,2.97,,,,
Jun-01-1993,3,,,,
Jun-02-1993,2.97,,,,
Jun-03-1993,2.9,,,,
Jun-04-1993,2.95,,,,
Jun-07-1993,2.9,,,,
Jun-08-1993,2.9,,,,
Jun-09-1993,2.9,,,,
