date,Bendigo and Adelaide Bank Limited (ASX:BEN) - Share Pricing,Bendigo and Adelaide Bank Limited (ASX:BEN) - Daily Target Price (CIQ)
Apr-27-2020,5.68,6.9
Apr-28-2020,5.79,6.9
Apr-29-2020,6.04,6.9
Apr-30-2020,6.54,6.9
May-01-2020,6.01,6.9
May-04-2020,6.01,6.9
May-05-2020,6.14,6.9
May-06-2020,6.01,6.9
May-07-2020,5.92,6.9
May-08-2020,5.89,6.9
May-11-2020,6,6.9
May-12-2020,5.79,6.9
May-13-2020,5.66,6.9
May-14-2020,5.64,6.9
May-15-2020,5.7,6.9
May-18-2020,5.68,6.9
May-19-2020,5.77,6.9
May-20-2020,5.68,6.84
May-21-2020,5.64,6.68
May-22-2020,5.57,6.68
May-25-2020,5.6,6.68
May-26-2020,5.95,6.68
May-27-2020,6.29,6.68
May-28-2020,6.55,6.6
May-29-2020,6.15,6.6
Jun-01-2020,6.21,6.64
Jun-02-2020,6.46,6.64
Jun-03-2020,6.8,6.64
Jun-04-2020,6.99,6.64
Jun-05-2020,7.32,6.64
Jun-09-2020,8.01,6.89
Jun-10-2020,7.98,6.89
Jun-11-2020,7.57,6.89
Jun-12-2020,7.29,6.89
Jun-15-2020,6.99,6.89
Jun-16-2020,7.19,6.89
Jun-17-2020,7.14,6.89
Jun-18-2020,7.16,6.89
Jun-19-2020,7.13,6.89
Jun-22-2020,7.2,6.91
Jun-23-2020,7.06,6.91
Jun-24-2020,7.07,6.91
Jun-25-2020,6.84,6.91
Jun-26-2020,7.07,6.91
Jun-29-2020,6.96,6.91
Jun-30-2020,7.01,6.91
Jul-01-2020,7.07,6.91
Jul-02-2020,7.1,6.91
Jul-03-2020,7,6.91
Jul-06-2020,7.04,6.91
Jul-07-2020,6.93,6.91
Jul-08-2020,6.86,6.91
Jul-09-2020,6.9,6.91
Jul-10-2020,6.86,6.91
Jul-13-2020,6.96,6.91
Jul-14-2020,7.05,6.91
Jul-15-2020,7.02,6.91
Jul-16-2020,7.09,6.91
Jul-17-2020,7.15,6.91
Jul-20-2020,6.78,6.91
Jul-21-2020,7.13,6.91
Jul-22-2020,7.07,6.94
Jul-23-2020,7.14,6.94
Jul-24-2020,7.01,6.97
Jul-27-2020,6.94,6.97
Jul-28-2020,6.96,6.97
Jul-29-2020,7.02,7.01
Jul-30-2020,7.01,7.01
Jul-31-2020,6.88,7.01
Aug-03-2020,6.56,7.01
Aug-04-2020,6.77,7.01
Aug-05-2020,6.64,7.01
Aug-06-2020,6.68,7.01
Aug-07-2020,6.67,7.01
Aug-10-2020,6.86,6.99
Aug-11-2020,7.03,6.99
Aug-12-2020,7.15,6.99
Aug-13-2020,7.02,6.99
Aug-14-2020,7,6.99
Aug-17-2020,6.54,6.76
Aug-18-2020,6.38,6.76
Aug-19-2020,6.4,6.76
Aug-20-2020,6.45,6.76
Aug-21-2020,6.42,6.76
Aug-24-2020,6.37,6.75
Aug-25-2020,6.62,6.75
Aug-26-2020,6.49,6.75
Aug-27-2020,6.45,6.75
Aug-28-2020,6.51,6.75
Aug-31-2020,6.54,6.75
Sep-01-2020,6.33,6.75
Sep-02-2020,6.43,6.75
Sep-03-2020,6.53,6.75
Sep-04-2020,6.36,6.75
Sep-07-2020,6.39,6.75
Sep-08-2020,6.52,6.75
Sep-09-2020,6.38,6.75
Sep-10-2020,6.34,6.75
Sep-11-2020,6.24,6.75
Sep-14-2020,6.3,6.75
Sep-15-2020,6.15,6.75
Sep-16-2020,6.13,6.75
Sep-17-2020,6.13,6.75
Sep-18-2020,6.02,6.75
Sep-21-2020,5.95,6.75
Sep-22-2020,5.88,6.75
Sep-23-2020,6.05,6.75
Sep-24-2020,6.09,6.75
Sep-25-2020,6.38,6.75
Sep-28-2020,6.34,6.75
Sep-29-2020,6.2,6.75
Sep-30-2020,6.04,6.75
Oct-01-2020,6.14,6.75
Oct-02-2020,6,6.75
Oct-05-2020,6.33,6.75
Oct-06-2020,6.3,6.75
Oct-07-2020,6.37,6.75
Oct-08-2020,6.34,6.75
